cause razón
last último
cut muerto
dead contacto
utter lengua
pure iluminación
do caso
all total
wholly completo
make causa
beast bestia
creature criatura
utterly toque
clean bueno
thirsty hambre
play pueblo
full justo
rest tranquilidad
sleep paz
good recto
matter pálido
rise salir
need decir
rich rico
form forma
state estado
still apacible
thing claro
course rumbo
any grato
look cara
true fiel
away muchedumbre
record verdadero
going sol
set sitio
given pedido
granted petición
leave dejar
secret oculto
gain ganancia
round pie
try conciencia
bear soportar
cover cubrir
off nube
mark marca
pass alto
passing amor
dark oscuro
get inteligencia
fall ruina
birth nacimiento
have motivo
drop son
hence ir
therefore proceder
thus seguir
carry llevar
lift alzar
quiet mar
hurt perjuicio
suffer sufrir
too transportar
also enviar
cry gritar
redemption redención
release soltar
call llamar
put ídolo
side entrada
firm sólido
pain dolor
trouble desgracia
heritage posesión
inheritance propiedad
empty vacío
beat mano
cast sacar
grant señor
ease tranquilo
better vivir
salvation salvación
take maldad
turn lluvia
service labor
waste desierto
forward marcha
draw ánimo
drive echar
roll tomar
throw arrancar
raise levantar
aloud júbilo
loud gozo
skin cuero
harm mal
best habitar
most sagrado
near santo
wise opinión
burn quemar
give amo
bound límite
follow venir
render respeto
walk andar
fearful grande
fly volar
fast firme
out abismo
hard difícil
bring aldea
land nación
little pequeña
find hijo
departed multitud
gone ejército
second segundo
forth salida
sober ser
become agua
barren estéril
quenched infierno
fair buen
increase provecho
gather asamblea
bare descubierto
way vía
voice digno
black negro
clear resplandor
named llamada
run derramar
add virtud
following siguiente
next próximo
morning hierba
finish acabar
destruction fin
kill destruir
death final
blood orden
fell sonido
flood río
line mandato
creation creación
foundation fundamento
loose desatar
rule regla
number nombre
separate especial
wild salvaje
repair piedra
care preocupación
come polvo
great importante
heavy duro
large gran
damage daño
golden cubierta
walking caminar
foot base
order perfección
dread terror
dreadful terrible
terrible fuerte
light gloria
mount monte
overflow corriente
hide piel
behind mitad
wind soplar
small pequeño
standing vertical
top elevado
bottom parte
by acceso
younger menor
enter real
burning arder
cease cesar
end extremo
violent violento
rent hecho
pattern diseño
custom costumbre
path camino
house clase
fight combate
equal semejante
down derribar
yield pecado
people único
restrained océano
middle centro
same igual
charge voz
gold caja
business administración
figure figura
dawn maría
issue cuerpo
serve trabajo
flaming llama
save madre
office cargo
place puesto
country país
think pensar
comprehend comprender
understand escrito
see niño
perceive entender
know cabeza
read escritura
master habitación
discover hija
hear conocimiento
writing obra
mind saber
search buscar
naked desnudo
name imagen
tell joven
describe descripción
sort manera
prove probar
shew mostrar
stand resistir
submit obediencia
judge asunto
weight peso
believe creer
part propio
swear jurar
trust confianza
sign señal
regard atención
like similar
one agudo
will recoger
hell alma
dwell solitario
offer largo
iniquity perverso
under caer
drink bebida
drunkenness copa
decree mes
sin persona
price valor
keep seno
face aspecto
battle batalla
say muchacho
force fuerza
burden carga
ask hablar
hands sentencia
present presente
pleasure deseo
love principio
coupling inferior
cross cruz
head sumo
skirt borde
manifest manifiesto
tears llanto
weeping lamento
saint visión
flame fuego
everlasting luz
perpetual perpetuo
judgment poder
lie consuelo
instruction sabio
teaching culto
betray entregar
deceive librar
burned rollo
burnt cosa
done tratado
hail nieve
curse maldecir
composition composición
commit dios
grave trabajar
rising aparecer
violence violencia
storm protección
speak idioma
torn evidencia
pronounce objeto
send rumor
prayer oración
supplication plegaria
execute hacer
instant instante
habitation morada
gift regalo
through convenio
seek explorar
meet reunión
contain contener
bird pájaro
fowl ave
young juventud
faith fe
resort roca
fat fértil
knowing juicio
learned sabiduría
delight voluntad
athirst sed
mate pareja
pair par
pursue alcanzar
bed cabecera
home casa
household familia
border frontera
yoke bajo
lay lugar
overflowing torrente
sit virgen
seat puro
base soporte
saw apariencia
pasture pastizal
image estatua
nether descender
mountain montaña
perform cumplir
upright derecho
fear miedo
plague plaga
anguish angustia
sorrow tristeza
evident evidente
depart partir
eternal eterno
flee escapar
hollow hueco
eye ojo
world mundo
lowly humilde
redeem matriz
be costa
profit beneficio
benefit bien
lend mérito
closet secreto
captain cuarto
heed cuidado
cost precio
may declarar
might manifestar
ought tener
should padecer
shall acumular
could demostrar
brother hermano
fellow compañero
sister hermana
man varón
i despierto
k campo
thousand área
whatsoever amable
power dominio
called llamamiento
brass lado
falling caída
grass pasto
dwelling vivienda
heart corazón
hole agujero
king autoridad
spirit faz
nature naturaleza
accord acuerdo
agreement pacto
unity unidad
fearfulness temor
integrity integridad
youth adolescencia
height superior
wealth abundancia
moment momento
flesh carne
language lenguaje
speech habla
tradition tradición
pestilence peste
grief amargura
religion religión
communion comunión
proverb presencia
nativity origen
corn fresco
wheat nuevo
mankind hombre
family clan
nation tierra
multitude solo
men decreto
eden grandeza
heaven esplendor
wherefore llegar
why entrar
angel parecer
lord guardia
nobleman oficial
spouse novia
tempest refugio
riches riqueza
thou zona
evening noche
eventide atardecer
